,id,name,regr_mse,regr_dt_mse,regr_boost_mse,regr_rf_mse,rs_m70,rs_m50,rs_m30,rs_m10,rs_p10,rs_p30,rs_p50,rs_p70
57,2626,대흥,0.8148378404956801,0.263141603330718,0.10673499274930097,0.24748663611065222,0.03477993266816345,0.030145792860910924,0.015188070602117403,0.0024454544076712307,-0.00589358263251027,-0.013335638832612505,-0.017499936415276585,-0.019621421045242914
58,334,도곡,0.8449872120641965,0.23158728687792088,0.12270504357365086,0.2313609716167964,0.027648510093682997,0.016986830705878142,0.00993770081741172,0.004830079522300056,0.0018387629983359045,-0.0019546267303944126,-0.006804179944137642,-0.009965713316509969
59,247,도림천,0.8138696911544823,0.17724121320759456,0.15329271317089266,0.1763175306046074,0.055162594889942455,0.023904967270886087,0.01591689965008078,0.010887636216824988,0.007974770914459618,0.006785958353695526,0.006176548477614766,0.005368319418902765
60,2712,도봉산,0.694661928579728,0.1772981978465961,0.1162712439776037,0.17580689325307478,-0.0033968056314403784,-0.006716466125275573,-0.008421960397998056,-0.008533463969374397,-0.009866019426078072,-0.013968829834192465,-0.018033401572887374,-0.021494625914002363
61,316,독립문,0.8582636616255701,0.3183552985056658,0.2131627221865187,0.31842255437701505,-0.0027099358381568574,0.0063943300181494665,0.0073047881096245755,0.005691837619655465,0.004427837842529721,0.0015700464807767282,0.0002931834097925158,-0.004466294443497053
62,2614,독바위,0.6103715536893047,0.1663610756966979,0.1257859780744202,0.16116074282458748,-0.01274400206018651,-0.006025667450853596,-0.003104420986007415,-0.0019255470028466547,-0.001342610584318696,-0.0021268629918753455,-0.0020865673438660954,-0.004829793112373609
63,2644,돌곶이,0.554496785543548,0.09909677181437354,0.07868490412351091,0.1020281232589803,-0.0017016075253094315,0.0029328001344367293,0.0030408099598386584,0.001494984650601134,0.0002952940280135073,-0.0011685597707870165,-0.0034273927642890427,-0.0060644618619210815
64,155,동대문,0.7217580750776391,0.20395974090020982,0.10318348373094244,0.2018476171628019,-0.030548957677029337,-0.015396606864563197,-0.011480041976901566,-0.008803933259726077,-0.00629645186847421,-0.004325245395067361,-0.003213379047142979,-0.002542313762309158
65,421,동대문,0.6480847299128735,0.14083229808147507,0.058772894124709124,0.13661538976412654,0.022470844324127714,0.013820473588713753,0.005269234303587654,-0.0018402171586440362,-0.007521206888476639,-0.010363717945859809,-0.01434232709775085,-0.0173167135274284
66,205,동대문역사문화공원,0.8360558202869388,0.2974598273614785,0.11699752072493096,0.28173131201663154,-0.0066757328992233305,0.00952460107156674,0.009100925102831002,0.008967296004907529,0.009027075509995455,0.010379821951135633,0.010349738114250518,0.010785844588689794
67,422,동대문역사문화공원,0.8611624984304095,0.2624386373692425,0.10191853975471402,0.18645442797771428,-0.005854517349822812,0.005730138309573248,0.0062671415946778265,0.007268131185234891,0.00794995052313612,0.007827436145751956,0.00564038205258017,0.003062112176552404
68,2537,동대문역사문화공원5,0.7731482418089848,0.07175578087160155,0.06936457636860978,0.07184352710527825,-0.028291824365348474,0.002517202278320971,0.005067960886813788,0.0047051974952255615,0.0023649479162468415,-0.0006606620187791185,-0.00521979552817614,-0.008460502657392545
69,322,동대입구,0.7707954795056449,0.3249296103957966,0.13504430358599065,0.2711928884288454,-0.0041301935474223036,0.00723458119259775,0.007888321521829283,0.009401574039023813,0.009619866502763941,0.008659065121819595,0.007020092281557454,0.004477655022838546
70,159,동묘앞,0.7510106054614396,0.2770214236585549,0.0909155539964204,0.2620492384717059,-0.01094119964716872,-0.0059878934073626265,-0.005165414538874697,-0.004404949761606498,-0.003124146478325661,-0.0014435912605349642,0.0007059897400627064,0.004124014193981806
71,2637,동묘앞,0.8217070181933387,0.16809564617120307,0.11453525552806769,0.18186187324519495,0.006926584792122649,0.008099139862839293,0.0048198442762231695,0.0001202572629603516,-0.0025427611742867215,-0.0034754179076631215,-0.0048771936680022,-0.00478503224394485
