address,name
대한민국 서울특별시 용산구 백범로 287,효창공원앞
대한민국 서울특별시 용산구 한강로1가,삼각지
대한민국 서울특별시 용산구 용산2가동,녹사평
대한민국 서울특별시 용산구 이태원1동 녹사평대로46길 16,이태원
대한민국 서울특별시 용산구 한남동,한강진
대한민국 서울특별시 중구 신당동,버티고개
대한민국 서울특별시 중구 신당동,약수
대한민국 서울특별시 중구 신당동,청구
대한민국 서울특별시 중구 황학동,신당
대한민국 서울특별시 종로구 숭인2동,동묘앞
대한민국 서울특별시 종로구 창신동,창신
대한민국 서울특별시 성북구,보문
대한민국 서울특별시 성북구,안암
대한민국 서울특별시 성북구 종암동,고려대
대한민국 서울특별시 성북구 월곡2동,월곡
대한민국 서울특별시 성북구 상월곡동,상월곡
대한민국 서울특별시 성북구 화랑로 지하 243,돌곶이
대한민국 서울특별시 노원구 화랑로 지하 347-1,석계
대한민국 서울특별시 노원구 공릉1동,태릉입구
대한민국 서울특별시 노원구 공릉2동,화랑대
대한민국 서울특별시 중랑구,봉화산
대한민국 경기도 의정부시 장암동,장암
대한민국 서울특별시 도봉구 도봉동,도봉산
대한민국 서울특별시 노원구 상계동,수락산
대한민국 서울특별시 노원구 상계동,마들
대한민국 서울특별시 노원구 상계6.7동,노원
대한민국 서울특별시 노원구,중계
대한민국 서울특별시 노원구,하계
대한민국 서울특별시 노원구,공릉
대한민국 서울특별시 노원구 공릉1동,태릉입구
대한민국 서울특별시 중랑구 묵동,먹골
대한민국 서울특별시 중랑구,중화
대한민국 서울특별시 중랑구 상봉2동,상봉
대한민국 서울특별시 중랑구 면목동,면목
대한민국 서울특별시 중랑구 면목동,사가정
대한민국 서울특별시 중랑구 면목4동,용마산
대한민국 서울특별시 광진구 중곡3동,중곡
대한민국 서울특별시 광진구 천호대로 지하 550,군자
대한민국 서울특별시 광진구 군자동,어린이대공원
대한민국 서울특별시 광진구 화양동,건대입구
대한민국 서울특별시 광진구 자양동 능동로 10,뚝섬유원지
대한민국 서울특별시 강남구 학동로 지하 508,청담
대한민국 서울특별시 강남구 학동로 지하 346,강남구청
대한민국 서울특별시 강남구,학동
대한민국 서울특별시 강남구 학동로 지하 102,논현
대한민국 서울특별시 서초구 잠원동,반포
대한민국 서울특별시 서초구 반포동 신반포로 194,고속터미널
대한민국 서울특별시 서초구 방배동,내방
대한민국 서울특별시 동작구 사당2동,이수
대한민국 서울특별시 동작구,남성
대한민국 서울특별시 동작구 상도1동,숭실대입구
대한민국 서울특별시 동작구,상도
대한민국 서울특별시 동작구 상도2동,장승배기
대한민국 서울특별시 동작구 대방동,신대방삼거리
대한민국 서울특별시 동작구 상도로,보라매
대한민국 서울특별시 영등포구 신길동,신풍
대한민국 서울특별시 영등포구,대림
대한민국 서울특별시 구로구 도림로 7,남구로
대한민국 서울특별시 금천구 벚꽃로 309,가산디지털단지
대한민국 경기도 광명시 철산로 철산3동 57 주공아파트 1308동,철산
대한민국 경기도 광명시 광명동,광명사거리
대한민국 서울특별시 구로구 오류2동,천왕
대한민국 서울특별시 구로구 수궁동,온수
대한민국 경기도 부천시 원미구 길주로,까치울
대한민국 경기도 부천시 원미구 춘의동,부천종합운동장
대한민국 경기도 부천시 원미구 춘의동,춘의
대한민국 경기도 부천시 원미구 중3동,신중동
대한민국 경기도 부천시 원미구 길주로,부천시청
대한민국 경기도 부천시 원미구 심곡2동 156-1,상동
대한민국 인천광역시 부평구 길주로,삼산체육관
대한민국 인천광역시 부평구 갈산2동,굴포천
대한민국 인천광역시 부평구 부평대로 지하 189,부평구청
대한민국 서울특별시 강동구,암사
대한민국 서울특별시 강동구,천호
대한민국 서울특별시 강동구 성내1동 성내로 25,강동구청
대한민국 서울특별시 송파구 올림픽로 지하 383,몽촌토성
대한민국 서울특별시 송파구 잠실6동,잠실
대한민국 서울특별시 송파구 송파동,석촌
대한민국 서울특별시 송파구 송파대로 지하 354,송파
대한민국 서울특별시 송파구,가락시장
대한민국 서울특별시 송파구,문정
대한민국 서울특별시 송파구 문정2동,장지
대한민국 서울특별시 송파구 장지동,복정
대한민국 경기도 성남시 수정구 신흥동,산성
대한민국 경기도 성남시 수정구 단대동,남한산성입구
대한민국 경기도 성남시 수정구 산성대로 지하 365,단대오거리
대한민국 경기도 성남시 수정구 신흥3동,신흥
대한민국 경기도 성남시 수정구 신흥1동,수진
대한민국 경기도 성남시 중원구 성남동,모란
대한민국 서울특별시 송파구 잠실동,잠실새내
대한민국 서울특별시 성북구,보문
대한민국 서울특별시 은평구 갈현1동,연신내
